date,cash,stocks,equity
2025-07-30 05:00:00,100000.0,0.0,100000.0
2025-07-31 05:00:00,100000.0,583.5298881530794,100583.52988815308
2025-08-01 05:00:00,100000.0,-388.92980575561614,99611.07019424438
2025-08-02 05:00:00,100000.0,-1849.0297603607191,98150.97023963928
2025-08-03 05:00:00,100000.0,-3309.1297149658217,96690.87028503418
2025-08-04 05:00:00,100000.0,-64.63002967834484,99935.36997032166
2025-08-05 05:00:00,100000.0,6787.710180282593,106787.7101802826
2025-08-06 05:00:00,100000.0,28746.271240234375,128746.27124023438
2025-08-07 05:00:00,100000.0,30812.850505828857,130812.85050582886
2025-08-08 05:00:00,100000.0,46579.22839355469,146579.2283935547
