timestamp,symbol,side,qty,price,fee,realized_pnl,date
2025-07-30 17:08:10.654762+00:00,TEST,buy,1.0,0.01,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:08:47.977984+00:00,TEST,buy,1.0,0.01,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:11:21.566123+00:00,TEST,buy,1.0,0.01,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:12:53.781045+00:00,TEST,buy,1.0,0.01,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:16:33.943129+00:00,TEST,buy,1.0,0.01,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:06.094175+00:00,NVDA,sell,16.0,179.1,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:11.726512+00:00,TSLA,buy,9.0,317.83,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:16.376921+00:00,JPM,sell,9.0,299.37,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:21.658483+00:00,UNH,buy,11.0,262.19,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:26.790428+00:00,PG,buy,18.0,154.16,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:31.800097+00:00,DIS,buy,24.0,120.19,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:36.853397+00:00,XOM,sell,25.0,112.13,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:41.939210+00:00,PFE,buy,119.0,24.12,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:46.954893+00:00,NKE,sell,37.0,76.76,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:51.308062+00:00,ORCL,sell,69.0,248.71,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:26:56.580647+00:00,CVX,sell,18.0,154.92,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:01.403375+00:00,MCD,buy,21.0,304.135,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:06.510905+00:00,WMT,buy,36.0,97.72,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:11.815317+00:00,PEP,buy,20.0,143.62,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:17.117393+00:00,ABBV,sell,15.0,190.53,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:23.096825+00:00,CRM,buy,53.0,267.32,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:27.724707+00:00,INTC,buy,142.0,20.255,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:32.318891+00:00,CMCSA,buy,87.0,32.92,0.0,0.0,2025-07-30 00:00:00+00:00
2025-07-30 17:27:37.252721+00:00,NFLX,buy,2.0,1174.09,0.0,0.0,2025-07-30 00:00:00+00:00
