Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-08-10 00:00:00-04:00,196.36000061035156,198.30999755859375,195.3300018310547,196.7899932861328,189.91867065429688,5525400,0.0,0.0
2020-08-11 00:00:00-04:00,197.82000732421875,202.88999938964844,196.33999633789062,197.77000427246094,190.86447143554688,11549600,0.0,0.0
2020-08-12 00:00:00-04:00,199.0,200.22999572753906,198.24000549316406,198.74000549316406,191.80059814453125,5432500,0.0,0.0
2020-08-13 00:00:00-04:00,197.1300048828125,199.94000244140625,197.02999877929688,197.5800018310547,190.9693603515625,7014800,0.3,0.0
2020-08-14 00:00:00-04:00,197.00999450683594,198.07000732421875,195.77000427246094,196.63999938964844,190.06082153320312,5014400,0.0,0.0
2020-08-17 00:00:00-04:00,197.3000030517578,200.4600067138672,196.7100067138672,199.42999267578125,192.75746154785156,6256200,0.0,0.0
2020-08-18 00:00:00-04:00,199.97999572753906,200.10000610351562,196.82000732421875,199.00999450683594,192.3515167236328,6519900,0.0,0.0
2020-08-19 00:00:00-04:00,198.9199981689453,202.83999633789062,198.89999389648438,200.99000549316406,194.2652587890625,9467600,0.0,0.0
2020-08-20 00:00:00-04:00,199.89999389648438,204.44000244140625,199.60000610351562,204.14999389648438,197.319580078125,8849200,0.0,0.0
2020-08-21 00:00:00-04:00,204.5,205.13999938964844,203.33999633789062,204.1300048828125,197.3002166748047,9998300,0.0,0.0
2020-08-24 00:00:00-04:00,205.00999450683594,206.4499969482422,204.6699981689453,206.41000366210938,199.50393676757812,6159600,0.0,0.0
2020-08-25 00:00:00-04:00,207.19000244140625,208.1999969482422,205.5399932861328,208.10000610351562,201.13739013671875,5828300,0.0,0.0
2020-08-26 00:00:00-04:00,208.10000610351562,210.8000030517578,207.3000030517578,210.25999450683594,203.22511291503906,7035200,0.0,0.0
2020-08-27 00:00:00-04:00,211.2100067138672,212.17999267578125,209.0500030517578,211.02999877929688,203.96937561035156,8619600,0.0,0.0
2020-08-28 00:00:00-04:00,212.0,216.16000366210938,211.22000122070312,215.7100067138672,208.49282836914062,7349800,0.0,0.0
2020-08-31 00:00:00-04:00,215.5399932861328,215.9600067138672,211.55999755859375,211.99000549316406,204.897216796875,9326900,0.0,0.0
2020-09-01 00:00:00-04:00,212.2100067138672,213.88999938964844,211.1199951171875,213.35000610351562,206.2117462158203,5642900,0.0,0.0
2020-09-02 00:00:00-04:00,214.1300048828125,217.35000610351562,213.77000427246094,216.47999572753906,209.23704528808594,9863800,0.0,0.0
2020-09-03 00:00:00-04:00,214.92999267578125,214.92999267578125,207.08999633789062,208.9600067138672,201.96861267089844,11310200,0.0,0.0
2020-09-04 00:00:00-04:00,208.49000549316406,210.5,200.14999389648438,204.66000366210938,197.81251525878906,13243600,0.0,0.0
2020-09-08 00:00:00-04:00,200.77999877929688,202.25,199.2100067138672,200.1199951171875,193.4243621826172,14186900,0.0,0.0
2020-09-09 00:00:00-04:00,204.35000610351562,206.2899932861328,201.9499969482422,204.05999755859375,197.23255920410156,7532600,0.0,0.0
2020-09-10 00:00:00-04:00,204.86000061035156,207.0,200.4499969482422,201.5399932861328,194.796875,7243000,0.0,0.0
2020-09-11 00:00:00-04:00,201.5800018310547,202.41000366210938,198.91000366210938,200.67999267578125,193.96566772460938,7439000,0.0,0.0
